[ 2025-01-20 17:25:44,131 ] 15 root - INFO - Initiate the data ingestion
[ 2025-01-20 17:25:47,863 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-20 17:25:47,863 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-20 17:25:47,864 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-20 17:25:47,904 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-20 17:25:47,904 ] 17 root - INFO - Data Initiation Completed
[ 2025-01-20 17:25:47,951 ] 21 root - INFO - Initiate the data Validation
[ 2025-01-20 17:25:48,047 ] 32 root - INFO - Required number of columns:2
[ 2025-01-20 17:25:48,047 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-20 17:25:48,047 ] 32 root - INFO - Required number of columns:2
[ 2025-01-20 17:25:48,047 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-20 17:25:48,224 ] 23 root - INFO - data Validation Completed
