[ 2025-01-21 11:27:24,462 ] 16 root - INFO - Initiate the data ingestion
[ 2025-01-21 11:27:36,617 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-21 11:27:36,619 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-21 11:27:36,619 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-21 11:27:36,723 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-21 11:27:36,723 ] 18 root - INFO - Data Initiation Completed
[ 2025-01-21 11:27:36,748 ] 22 root - INFO - Initiate the data Validation
[ 2025-01-21 11:27:36,864 ] 32 root - INFO - Required number of columns:2
[ 2025-01-21 11:27:36,864 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-21 11:27:36,864 ] 32 root - INFO - Required number of columns:2
[ 2025-01-21 11:27:36,864 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-21 11:27:37,055 ] 24 root - INFO - data Validation Completed
[ 2025-01-21 11:27:37,055 ] 27 root - INFO - data Transformation started
[ 2025-01-21 11:27:37,055 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-21 11:27:37,055 ] 65 root - INFO - Starting data transformation
[ 2025-01-21 11:27:37,088 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-21 11:27:37,088 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-21 11:27:37,102 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-21 11:27:37,106 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-21 11:27:37,106 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-21 11:27:37,113 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-21 11:27:37,115 ] 31 root - INFO - data Transformation completed
